2013	11699	36954	145	54.3	2
2015	11099	20997	20	68.9	2
2013	11699	37274	30	64.2	2
2014	12199	62675	125	57.6	3
2011	12999	64675	145	55.4	3
2013	7799	35138	125	53.3	1.4
2015	11530	28255	0	83.1	1.6
2010	8450	42000	160	49.6	2
2011	11440	63119	145	53.3	3
2012	6790	64446	0	74.3	1.6
2004	4689	28477	305	36.2	1.6
2007	5995	93392	565	29.7	3.2
2015	9390	90000	0	74.3	2
2015	6793	123000	0	83.1	1.6
2014	12799	7595	125	50.4	1.8
2015	6793	123000	0	83.1	1.6
2016	13799	32073	0	74.3	2
2016	10923	87754	0	74.3	2
2015	9999	41843	0	83.1	1.6
2013	10000	37362	125	57.6	2
2017	20499	10987	145	68.9	2
2016	9999	33534	0	83.1	1.6
2013	9791	17956	125	52.3	1.4
2017	34930	3793	145	50.4	3
2019	29930	13450	140	52.3	3
2017	33330	4510	145	50.4	3
2015	9795	121420	0	176.6	1.4
2019	22950	6844	145	67.3	2
2016	12750	10380	30	55.4	1.4
2016	11600	21764	0	83.1	1.6
2014	19800	29319	145	54.3	3
2016	16500	11369	20	65.7	2
2016	11300	12650	0	76.3	1.6
2017	16700	9450	145	70.6	1.4
2015	11295	72260	0	176.6	1.4
2013	12000	93080	145	55.4	3
2014	11295	107200	200	47.9	3
2013	17995	18330	200	47.9	2
2014	18995	16675	200	47.9	2
2015	14995	54495	125	57.6	3
2012	7714	43133	0	74.3	1.6
2016	11299	18469	20	68.9	2
2013	6485	65000	0	74.3	1.6
2015	11799	13741	30	56.5	1.4
2012	7099	46942	0	74.3	1.6
2015	12681	10747	30	55.4	1.4
2016	12300	24259	20	70.6	2
2016	15486	32657	125	56.5	3
2008	33950	52500	580	21	4.2
2013	8150	37141	0	74.3	1.6
2015	10999	87652	0	74.3	2
2015	8299	91334	0	83.1	1.6
2016	13375	33007	20	72.4	2
2017	43990	16975	555	28.2	4
2015	7295	104460	0	83.1	1.6
2018	29990	9735	145	58.9	3
2016	10500	88230	0	74.3	2
2013	11990	38431	20	68.9	2
2016	11000	84380	0	74.3	2
2019	33990	10	145	52.3	3
2002	2876	99000	295	30.1	1.8
2014	12450	23000	0	74.3	1.6
2011	6875	70000	30	64.2	2
2010	4295	97000	20	68.9	1.6
2012	5995	46000	205	40.9	1.6
2011	6475	45000	0	70.6	1.6
2012	6675	55000	30	64.2	2
2009	6695	73848	235	39.8	1.8
2007	2795	104000	145	53.3	1.9
2014	22995	34000	555	28.5	4.1
2011	5290	87000	30	64.2	2
2010	4490	107304	125	57.6	2
2012	6975	56472	20	68.9	2
2013	12499	31244	30	64.2	2
2016	11299	12730	30	57.6	1.4
2009	5000	63241	200	41.5	1.6
2011	5899	85246	30	65.7	1.6
2016	10200	88151	20	70.6	2
2007	5495	89000	220	43.4	2
2008	8495	83000	230	42.1	2
2008	5495	82000	260	36.7	2
2010	11099	82397	300	37.6	3
2015	31250	25500	305	30.1	4
2015	44950	24987	315	29.4	4
2009	5295	68470	150	48.7	1.4
2016	10199	19356	0	80.7	1.6
2012	12999	54373	200	47.9	3
2015	19999	18256	260	33.2	3
2015	13500	18560	20	67.3	2
1998	4999	55000	265	30.4	1.8
2011	7450	38264	30	64.2	2
2012	6450	73994	30	65.7	1.6
2015	10999	30690	0	83.1	1.6
2014	16800	42709	200	47.9	3
2013	17495	35000	300	34.9	3
2003	6490	43000	325	28.8	3.2
2016	14599	14380	0	74.3	2
2008	2490	323000	200	44.1	2
2015	17995	30000	200	39.8	3
2015	12995	12119	30	67.3	2
2006	7995	74000	570	22.8	4.2
2009	7995	93000	325	30.7	3.2
2014	5500	87000	0	74.3	1.6
2008	3995	123000	160	51.3	2
2005	5895	62000	330	22.4	4.2
2016	13295	44660	0	72.4	2
2006	3895	93000	240	43.4	2
2017	8600	12000	150	67.3	1
2008	3450	92500	150	53.3	1.9
2013	8499	53566	20	67.3	2
2009	8995	95000	290	37.6	3
2016	74500	28888	570	24.1	5.2
2005	4990	87990	325	36.7	3
2002	1990	131925	325	30.1	1.8
2008	3990	148000	305	35.8	3
2011	4690	106122	30	64.2	2
2009	9350	44000	145	53.3	2
2017	43950	40000	300	39.2	4
2006	8750	98000	570	21.1	5.2
2017	14695	3000	20	64.2	1
2012	7650	19200	30	55.4	1.2
2003	2490	100000	30	65.7	1.4
2006	3880	87000	305	36.7	2
2005	2990	95000	300	34.9	2
2008	3490	82000	235	38.7	1.8
2007	3990	70000	300	39.8	2.7
2006	3888	80000	300	33.6	2
2015	11240	89000	0	176.6	1.4
2011	9940	35000	150	51.4	2
2013	12880	43000	150	49.6	3
2010	6240	46000	135	55.4	2
2011	9440	56000	220	42.8	3
2014	15880	19000	200	47.9	2
2012	8288	25000	0	74.3	1.6
2014	18950	32000	260	36.7	3
2011	4250	116000	20	70.6	1.6
2018	18700	1599	145	56.5	1.5
2009	3495	90356	200	40.9	1.6
2011	6495	94700	235	44.1	2.7
2016	12695	22000	20	70.6	2
2007	2600	127700	205	44.1	2
2016	12700	42166	20	72.4	2
2015	24000	40102	325	30.1	4
2012	13290	64900	300	38.2	4.2
2017	14990	8936	20	60.1	1.4
2015	14000	63000	0	188.3	1.4
1997	4650	122000	265	18.9	4.2
2017	13500	4520	0	67.3	1
2015	32000	30306	570	25	6.3
2018	70000	3840	150	29.4	4
2007	42992	39000	515	21	4.2
2010	6995	68493	125	51.4	1.4
2006	2995	114000	195	48.7	2
2004	1699	110000	315	36.2	2.5
2011	4395	132000	125	56.5	2
2019	30400	9	145	50.4	2
2014	14000	17803	200	42.2	2
2017	31000	47800	150	29.7	4
2003	1490	101000	240	44.5	1.9
2012	10490	24693	165	51.4	2
2010	9990	38000	125	53.3	1.4
2009	3750	120000	145	53.3	2
2011	9695	32300	235	39.2	2
2020	17199	609	150	49.6	1
